"['3450', '370', '3:0:0', '1', '0.60', '236', '0.00', '0.13', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1630', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1631', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1632', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1633', '3:0:0', '1', '0.60', '236', '0.00', '0.12', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1634', '3:0:0', '1', '0.60', '236', '0.00', '0.40', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1635', '3:0:0', '1', '0.60', '236', '0.00', '0.37', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1636', '3:0:0', '1', '0.60', '236', '0.00', '0.32', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1637', '3:0:0', '1', '0.60', '236', '0.00', '0.12', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1638', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1639', '3:0:0', '1', '0.60', '236', '0.00', '0.21', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1640', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1641', '3:0:0', '1', '0.60', '236', '0.00', '0.12', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1642', '3:0:0', '1', '0.60', '236', '0.00', '0.22', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1643', '3:0:0', '1', '0.60', '236', '0.00', '0.43', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1644', '3:0:0', '1', '0.60', '236', '0.00', '0.29', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1645', '3:0:0', '1', '0.60', '236', '0.00', '0.28', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1646', '3:0:0', '1', '0.60', '236', '0.00', '0.10', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1647', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1648', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1649', '3:0:0', '1', '0.60', '236', '0.00', '0.23', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1650', '3:0:0', '1', '0.60', '236', '0.00', '0.24', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1651', '3:0:0', '1', '0.60', '236', '0.00', '0.24', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1652', '3:0:0', '1', '0.60', '236', '0.00', '0.47', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1653', '3:0:0', '1', '0.60', '236', '0.00', '0.32', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1654', '3:0:0', '1', '0.60', '236', '0.00', '0.25', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1655', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1656', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1657', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1658', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1659', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1660', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1661', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1662', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1663', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1710', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1711', '3:0:0', '1', '0.60', '236', '0.00', '0.21', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1712', '3:0:0', '1', '0.60', '236', '0.00', '0.23', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1713', '3:0:0', '1', '0.60', '236', '0.00', '0.50', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1714', '3:0:0', '1', '0.60', '236', '0.00', '0.61', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1715', '3:0:0', '1', '0.60', '236', '0.00', '0.57', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1716', '3:0:0', '1', '0.60', '236', '0.00', '0.22', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1717', '3:0:0', '1', '0.60', '236', '0.00', '0.11', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1718', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1719', '3:0:0', '1', '0.60', '236', '0.00', '0.10', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1720', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1721', '3:0:0', '1', '0.60', '236', '0.00', '0.10', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1722', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1723', '3:0:0', '1', '0.60', '236', '0.00', '0.23', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1724', '3:0:0', '1', '0.60', '236', '0.00', '0.34', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1725', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1726', '3:0:0', '1', '0.60', '236', '0.00', '0.23', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1727', '3:0:0', '1', '0.60', '236', '0.00', '0.26', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1728', '3:0:0', '1', '0.60', '236', '0.00', '0.20', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1729', '3:0:0', '1', '0.60', '236', '0.00', '0.19', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1730', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1731', '3:0:0', '1', '0.60', '236', '0.00', '0.18', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1732', '3:0:0', '1', '0.60', '236', '0.00', '0.16', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1733', '3:0:0', '1', '0.60', '236', '0.00', '0.21', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1734', '3:0:0', '1', '0.60', '236', '0.00', '0.17', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1735', '3:0:0', '1', '0.60', '236', '0.00', '0.24', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1736', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1737', '3:0:0', '1', '0.60', '236', '0.00', '0.29', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1738', '3:0:0', '1', '0.60', '236', '0.00', '0.10', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1739', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1740', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1741', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1742', '3:0:0', '1', '0.60', '236', '0.00', '0.20', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1743', '3:0:0', '1', '0.60', '236', '0.00', '0.24', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1744', '3:0:0', '1', '0.60', '236', '0.00', '0.26', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1745', '3:0:0', '1', '0.60', '236', '0.00', '0.38', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1746', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1747', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1748', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1749', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1750', '3:0:0', '1', '0.60', '236', '0.00', '0.39', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1751', '3:0:0', '1', '0.60', '236', '0.00', '0.32', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1752', '3:0:0', '1', '0.60', '236', '0.00', '0.22', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1753', '3:0:0', '1', '0.60', '236', '0.00', '0.26', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1754', '3:0:0', '1', '0.60', '236', '0.00', '0.30', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1755', '3:0:0', '1', '0.60', '236', '0.00', '0.30', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1756', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1757', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1758', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1759', '3:0:0', '1', '0.60', '236', '0.00', '0.25', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1760', '3:0:0', '1', '0.60', '236', '0.00', '0.08', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1761', '3:0:0', '1', '0.60', '236', '0.00', '0.38', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1762', '3:0:0', '1', '0.60', '236', '0.00', '0.37', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1763', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1764', '3:0:0', '1', '0.60', '236', '0.00', '0.31', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1765', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1766', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1767', '3:0:0', '1', '0.60', '236', '0.00', '0.10', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1768', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1769', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1770', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1771', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1772', '3:0:0', '1', '0.60', '236', '0.00', '0.27', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1773', '3:0:0', '1', '0.60', '236', '0.00', '0.50', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1774', '3:0:0', '1', '0.60', '236', '0.00', '0.18', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1775', '3:0:0', '1', '0.60', '236', '0.00', '0.26', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1776', '3:0:0', '1', '0.60', '236', '0.00', '0.29', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1777', '3:0:0', '1', '0.60', '236', '0.00', '0.43', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1778', '3:0:0', '1', '0.60', '236', '0.00', '0.34', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1779', '3:0:0', '1', '0.60', '236', '0.00', '0.11', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1780', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1781', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1782', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1783', '3:0:0', '1', '0.60', '236', '0.00', '0.32', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1784', '3:0:0', '1', '0.60', '236', '0.00', '0.30', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1785', '3:0:0', '1', '0.60', '236', '0.00', '0.26', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1786', '3:0:0', '1', '0.60', '236', '0.00', '0.43', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1787', '3:0:0', '1', '0.60', '236', '0.00', '0.39', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1788', '3:0:0', '1', '0.60', '236', '0.00', '0.30', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1789', '3:0:0', '1', '0.60', '236', '0.00', '0.28', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1790', '3:0:0', '1', '0.60', '236', '0.00', '0.11', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '1791', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2517', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2518', '3:0:0', '1', '0.60', '236', '0.00', '0.38', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2519', '3:0:0', '1', '0.60', '236', '0.00', '0.36', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2520', '3:0:0', '1', '0.60', '236', '0.00', '0.28', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2521', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2522', '3:0:0', '1', '0.60', '236', '0.00', '0.19', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2523', '3:0:0', '1', '0.60', '236', '0.00', '0.28', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2524', '3:0:0', '1', '0.60', '236', '0.00', '0.33', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2525', '3:0:0', '1', '0.60', '236', '0.00', '0.08', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2526', '3:0:0', '1', '0.60', '236', '0.00', '0.26', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2527', '3:0:0', '1', '0.60', '236', '0.00', '0.37', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2528', '3:0:0', '1', '0.60', '236', '0.00', '0.44', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2529', '3:0:0', '1', '0.60', '236', '0.00', '0.48', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2601', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2602', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2603', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2604', '3:0:0', '1', '0.60', '236', '0.00', '0.05', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2605', '3:0:0', '1', '0.60', '236', '0.00', '0.07', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
"['3450', '2606', '3:0:0', '1', '0.60', '236', '0.00', '0.06', '0', '0', '0', '0.00', '0.00', '0.00\r\n']"
